Id,Name,Symbol,Description,Rank,Price Usd,Price Btc,24h Volume Usd,Market Cap Usd,Available Supply,Total Supply,Percent Change 1h,Percent Change 24h,Percent Change 7d,Last Updated
aeternity,Aeternity,AE,Decentralized apps (prototype),85,0.23015,0.00004008,362206,53629662,233020472,273685830,2.71,0.54,-22.45,1509199458
particl,Particl,PART,Privacy marketplace and chat,86,6.63966,0.0011564,53789.7,51473719,7752463,8748463,1.26,3.38,9.06,1509199460
edgeless,Edgeless,EDG,Decentralized casino,87,0.626457,0.00010911,907703,51398471,82046288,132046997,-0.13,10.21,44.63,1509199458
zcoin,ZCoin,XZC,Private digital cash,88,15.4169,0.0026851,2174560,51008065,3308581,3308581,2.87,13.35,35.87,1509199452
ubiq,Ubiq,UBQ,Ethereum clone,89,1.29219,0.00022506,235114,49831002,38563216,38563216,0.63,1.1,7.92,1509199446
storj,Storj,STORJ,Rent disk space,90,0.487187,0.00008485,4439880,48995841,100568860,424999998,-0.86,-10.59,45.82,1509199459
zencash,ZenCash,ZEN,Privacy-focused Bitcoin clone,91,20.7516,0.00361423,1038700,48950420,2358874,2358874,1.07,-2.13,-8.61,1509199458
aragon,Aragon,ANT,Decentralized organizations,92,1.47248,0.00025646,336143,48126531,32683997,39609524,1.61,-2.28,-2.99,1509199458
rlc,iExec RLC,RLC,Rent computing power,93,0.589563,0.00010268,393124,46617214,79070793,86999785,0,-3.39,25.52,1509199456
taas,TaaS,TAAS,Investment fund,94,5.64694,0.0009835,264441,45999978,8146001,8146001,0.66,1.7,-6.38,1509199455
nav-coin,NAV Coin,NAV,Bitcoin clone,95,0.734073,0.00012785,604927,45480220,61955990,61955990,0.11,-0.23,-1.86,1509199444
dentacoin,Dentacoin,DCN,Dentist reviews and insurance,96,0.000149533,0.00000003,51836.4,45322743,3.03095E+11,8E+12,28.8,14.98,25.29,1509199462
modum,Modum,MOD,Supply chain product IDs,97,2.58697,0.00045056,1756010,44925838,17366200,27266200,3.71,17.12,25.29,1509199465
loopring,Loopring,LRC,Decentralized exchange,98,0.148343,0.00002584,165449,42451428,286170756,1395076054,2.17,2.86,-7.36,1509199463
nolimitcoin,NoLimitCoin,NLC2,Fantasy sports,99,0.206757,0.00003601,91480.8,42200417,204106352,204106352,-0.58,-7.42,-3.17,1509199453
faircoin,FairCoin,FAIR,Bitcoin clone,100,0.769094,0.00013395,50992.9,40911057,53193831,53193831,4.52,7.51,16.01,1509199442
atbcoin,ATBCoin,ATB,Bitcoin clone,101,1.04276,0.00018161,821782,40244923,38594617,50571417,1.36,0.74,-16.74,1509199463
kin,Kin,KIN,Chat community rewards,102,5.22405E-05,0.000000009,104203,39498915,7.56098E+11,1E+13,2.72,-7.09,-15.04,1509199464
wings,Wings,WINGS,Decentralized crowdfunding and organizations,103,0.435001,0.00007576,411425,39023215,89708333,100000000,-0.43,-6.98,-0.28,1509199455
quantum-resistant-ledger,Quantum Resistant Ledger,QRL,Cryptocurrency,104,0.745069,0.00012977,257473,38743588,52000000,65000000,0.15,3.08,16.41,1509199458
mobilego,MobileGo,MGO,In app purchases,105,0.37737,0.00006573,219607,36993161,98028887,100000000,0.27,-2.12,-7.1,1509199459
melon,Melon,MLN,Blockchain hedge fund management,106,58.3626,0.0101648,321497,34982542,599400,749400,-0.24,-2.66,-8.48,1509199455
